 fishing_year,identification,capture_method,method,target,area,latitude,longitude,excluded,status,taxon
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2124497,-36.64359052,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2035242,-36.62520662,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2147157,-36.65879152,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2041188,-36.66265635,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2044635,-36.65223157,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.1831496,-36.64513229,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2003446,-36.63622433,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2063164,-36.63320402,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.1979366,-36.62825919,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2114952,-36.66534822,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.1890117,-36.64194724,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2087441,-36.6732636,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.2015698,-36.65330562,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Bay of Plenty,176.196901,-36.66677811,,dead,Bird
2010/2011,necropsy,hook,surface longline,Bigeye tuna,West Coast North Island,171.2076392,-33.12570137,,dead,Bird
2010/2011,observer,net,trawl,Hoki,East Coast South Island,174.356317,-43.45722881,,dead,Seal
2010/2011,observer,net,trawl,Hoki,East Coast South Island,174.0187607,-44.0417048,,alive,Bird
2010/2011,observer,net,trawl,Hoki,East Coast South Island,173.9844796,-44.07221178,,alive,Bird
2010/2011,necropsy,net,trawl,White warehou,Stewart Snares Shelf,166.4583512,-48.81461461,,dead,Bird
2010/2011,necropsy,net,trawl,Hoki,East Coast South Island,173.5343817,-44.30872305,,dead,Bird
2010/2011,necropsy,net,trawl,White warehou,Fiordland,165.686563,-47.04926253,,dead,Bird
2010/2011,necropsy,net,trawl,Ling,Stewart Snares Shelf,166.4750015,-49.01040583,,dead,Bird
2010/2011,necropsy,hook,bottom longline,Ling,East Coast South Island,174.5496169,-43.51681045,,dead,Bird
2010/2011,necropsy,net,trawl,Hoki,East Coast South Island,174.6915272,-43.9684453,,dead,Bird
2010/2011,observer,net,trawl,Ling,Stewart Snares Shelf,167.7506825,-48.66064234,,alive,Bird
2010/2011,necropsy,hook,bottom longline,Ling,East Coast South Island,174.4614553,-43.28183673,decomposed,decomposed,Bird
2010/2011,necropsy,hook,bottom longline,Ling,East Coast South Island,174.5913391,-43.20867696,,dead,Bird
2010/2011,necropsy,hook,bottom longline,Ling,East Coast South Island,174.630466,-43.23331621,,dead,Bird
2010/2011,necropsy,hook,bottom longline,Ling,East Coast South Island,174.8300987,-43.10652529,,dead,Bird
2010/2011,observer,net,trawl,Hoki,East Coast South Island,174.2556738,-43.50736262,,alive,Bird
2010/2011,observer,net,trawl,Hoki,East Coast South Island,174.2488048,-43.49789939,,alive,Bird
2010/2011,necropsy,warp or door,trawl,Ling,Stewart Snares Shelf,166.4764299,-49.00450072,,dead,Bird
2010/2011,imputation,net,trawl,Smooth oreo,East Coast South Island,172.6764181,-44.80868382,,dead,Bird
2010/2011,imputation,unknown,trawl,Hoki,Stewart Snares Shelf,167.1466544,-49.00478408,,alive,Bird
2010/2011,imputation,unknown,trawl,Hoki,Stewart Snares Shelf,167.1687564,-49.00780495,,alive,Bird
2010/2011,imputation,net,trawl,Ling,Stewart Snares Shelf,166.383908,-48.77429407,,alive,Bird
2010/2011,imputation,deck,trawl,Black oreo,East Coast South Island,174.5688326,-44.95724279,deck,alive,Bird
2010/2011,observer,net,trawl,Silver warehou,East Coast South Island,174.8698578,-43.76168693,,alive,Bird
2010/2011,imputation,net,trawl,Silver warehou,East Coast South Island,174.841936,-43.77070119,,alive,Bird
2010/2011,observer,hook,surface longline,Bigeye tuna,West Coast North Island,170.5645775,-33.61093258,,alive,Bird
2010/2011,necropsy,hook,surface longline,Bigeye tuna,West Coast North Island,170.534441,-33.58726206,,dead,Bird
2010/2011,necropsy,hook,surface longline,Bigeye tuna,West Coast North Island,170.5427733,-33.60093859,,dead,Bird
2010/2011,observer,net,trawl,Hoki,Chatham Rise,178.676051,-42.94029064,,alive,Bird
