 fishing_year,identification,capture_method,method,target,area,latitude,longitude,excluded,status,taxon
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.0553128,-46.70428957,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.025787,-46.69685118,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.0322421,-46.7081541,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.0575647,-46.68337884,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,166.0573766,-46.6851939,,dead,Bird
2002/2003,imputation,net,trawl,Hoki,Fiordland,165.8997517,-46.08526516,,alive,Bird
2002/2003,observer,,bottom longline,Ling,Chatham Rise,182.4340037,-43.90242099,,dead,Bird
2002/2003,observer,,trawl,Hoki,Fiordland,166.0413724,-46.76400362,,dead,Seal
2002/2003,observer,other,bottom longline,Ling,Chatham Rise,182.5394951,-43.93343157,,killed,Bird
2002/2003,necropsy,net,trawl,Hoki,Fiordland,165.8114922,-46.2957546,,dead,Bird
2002/2003,necropsy,unknown,trawl,Hoki,Fiordland,165.9208427,-46.07577746,,dead,Bird
2002/2003,necropsy,unknown,trawl,Hoki,Fiordland,165.9238507,-46.10636444,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.066635,-46.68473204,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0730309,-46.708156,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0516398,-46.69977357,deck,alive,Bird
2002/2003,observer,,trawl,Southern blue whiting,Subantarctic,171.7316652,-52.6369866,,dead,Seal
2002/2003,observer,hook,bottom longline,Ling,Stewart Snares Shelf,167.1142941,-46.68613416,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0916294,-46.69839218,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0903593,-46.68271119,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0978296,-46.67882328,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0816035,-46.70677967,deck,alive,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,166.9944663,-46.7532803,,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,166.9993678,-46.73326452,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9855965,-46.74056561,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9911596,-46.7329706,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,166.9797444,-46.73511047,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.987363,-46.7611031,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9808563,-46.7271048,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,166.9759211,-46.7727475,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9828072,-46.77318077,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0177994,-46.75774417,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,166.9774414,-46.74253466,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0059713,-46.76504418,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0143851,-46.72739928,deck,alive,Bird
2002/2003,necropsy,unknown,bottom longline,Ling,Stewart Snares Shelf,166.9817775,-46.7748523,,dead,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0211761,-46.76005776,deck,alive,Bird
2002/2003,observer,,trawl,Scampi,Chatham Rise,176.911258,-43.05240383,,dead,Seal
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0870618,-46.7556971,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1209022,-46.7477265,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1201562,-46.72013876,deck,alive,Bird
2002/2003,necropsy,mitigation device,bottom longline,Ling,Stewart Snares Shelf,167.0807527,-46.68570437,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.5372789,-47.68604815,,dead,Bird
2002/2003,necropsy,tangled,bottom longline,Ling,Stewart Snares Shelf,167.0690825,-46.71680588,,dead,Bird
2002/2003,necropsy,unknown,trawl,Scampi,Chatham Rise,177.2104806,-42.88351863,,dead,Bird
2002/2003,observer,lost,trawl,Scampi,Chatham Rise,176.5399735,-43.04214941,lost,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Stewart Snares Shelf,167.0249296,-46.73190786,,dead,Bird
2002/2003,observer,hook,bottom longline,Ling,Stewart Snares Shelf,167.0244216,-46.76511458,,alive,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,166.996761,-46.75654969,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.0074773,-46.72797764,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.0714491,-46.73777833,,dead,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0619119,-46.76915771,deck,alive,Bird
2002/2003,necropsy,net,trawl,Jack mackerel,Taranaki,173.2410589,-39.77058414,,dead,Dolphin
2002/2003,observer,,trawl,Hoki,Auckland Islands,167.9358595,-50.31385495,,dead,Seal
2002/2003,observer,hook,bottom longline,Ling,Subantarctic,178.4595427,-47.96128116,,dead,Seal
2002/2003,observer,deck,bottom longline,Ling,Subantarctic,178.8701294,-48.13675057,deck,alive,Bird
2002/2003,imputation,warp or door,trawl,Scampi,East Coast South Island,175.6789606,-43.06409301,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.0699202,-46.7356879,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.0735987,-46.75836006,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.0641644,-46.74586756,,dead,Bird
2002/2003,observer,,trawl,Scampi,East Coast South Island,175.7353747,-43.21309123,,dead,Seal
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.9838483,-48.13428294,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.0202391,-48.14143651,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.9774184,-48.14235351,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.0125241,-48.16167459,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0602143,-46.74912781,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Subantarctic,179.3939045,-48.21487973,deck,alive,Bird
2002/2003,observer,other,bottom longline,Ling,Stewart Snares Shelf,167.1222761,-46.67982491,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1071597,-46.70728312,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1203537,-46.71301647,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1103351,-46.72286266,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1160878,-46.68356703,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1242819,-46.71180607,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1242115,-46.71871393,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.084097,-46.68623665,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.080546,-46.69901498,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0863883,-46.71087219,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.081099,-46.68588056,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1163133,-46.71000837,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1135894,-46.71483328,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1157268,-46.68309946,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0766397,-46.71932817,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1154031,-46.67861752,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0913881,-46.70099496,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1055159,-46.68420802,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1214547,-46.70974802,deck,alive,Bird
2002/2003,observer,tangled,bottom longline,Ling,Stewart Snares Shelf,167.0864464,-46.69388115,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1155207,-46.71595194,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.114564,-46.67810897,deck,alive,Bird
2002/2003,observer,,bottom longline,Ling,Stewart Snares Shelf,167.1017938,-46.7033869,not bycatch,dead,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0925206,-46.71148636,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Subantarctic,179.1793851,-48.22339836,deck,alive,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,167.0700339,-46.73178595,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0746803,-46.74376948,deck,alive,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,167.0319656,-46.72832632,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Subantarctic,179.1412939,-48.16743139,deck,alive,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,167.0738859,-46.7681542,,alive,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,167.0620768,-46.72973164,,alive,Bird
2002/2003,observer,net,trawl,Hoki,Chatham Rise,177.4018338,-42.72964923,,alive,Bird
2002/2003,observer,net,trawl,Hoki,Chatham Rise,177.4046417,-42.74336116,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0964047,-46.70767805,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0949156,-46.70304544,deck,alive,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,167.1039303,-46.69065626,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0942734,-46.69591341,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1137968,-46.67983923,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.087272,-46.72153512,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0803855,-46.69761267,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.101847,-46.6858446,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0985448,-46.71804359,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0929398,-46.67695145,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.105863,-46.72221981,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.1089808,-46.71493462,deck,alive,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,167.0924978,-46.70727298,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1180293,-46.69081065,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0772364,-46.68552489,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0788943,-46.67500511,deck,alive,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Stewart Snares Shelf,167.1045045,-46.71317915,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0928869,-46.71524464,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1149319,-46.69109702,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1115292,-46.69383246,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.076663,-46.68897797,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0935242,-46.7061978,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1126426,-46.72354093,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1027569,-46.68512096,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1159342,-46.71779331,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1148719,-46.70768072,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.091726,-46.69491041,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0892789,-46.70321875,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0847502,-46.67985803,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0995614,-46.70840907,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0880818,-46.70239,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1107037,-46.69051354,deck,alive,Bird
2002/2003,observer,,trawl,Hoki,East Coast South Island,174.6617762,-43.5726178,,dead,Seal
2002/2003,observer,,bottom longline,Ling,Subantarctic,179.2384753,-48.11460219,not bycatch,alive,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Subantarctic,179.2304339,-48.11390886,,dead,Bird
2002/2003,observer,hook,bottom longline,Ling,Subantarctic,179.2509937,-48.11412381,,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1228429,-46.70082815,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1155323,-46.70707068,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0786504,-46.72430654,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1005998,-46.71094911,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0974747,-46.72471745,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1078065,-46.69422306,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1220362,-46.70812652,deck,alive,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Stewart Snares Shelf,167.0946461,-46.72242286,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0800043,-46.70568633,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1114801,-46.72448854,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0856395,-46.7154219,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1160263,-46.71915711,deck,alive,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Stewart Snares Shelf,166.9638692,-46.74498526,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Subantarctic,178.8508497,-47.93671556,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Subantarctic,178.560631,-47.84158611,deck,alive,Bird
2002/2003,imputation,deck,trawl,Barracouta,Stewart Snares Shelf,168.6466195,-47.02330922,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0945657,-46.67703099,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.1173546,-46.71053096,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1124951,-46.70455628,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0909153,-46.67772444,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0755663,-46.70752013,deck,alive,Bird
2002/2003,observer,net,trawl,Hoki,Chatham Rise,184.4462197,-43.70658967,,alive,Bird
2002/2003,necropsy,warp or door,trawl,White warehou,Chatham Rise,184.6633427,-43.54782206,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1017194,-46.68787398,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1123589,-46.67829588,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.1128704,-46.70139851,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0821841,-46.72283811,deck,alive,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.1180417,-46.72075561,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.088027,-46.71311017,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0959571,-46.68789267,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0912016,-46.69767523,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1116453,-46.68201781,deck,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.0932326,-46.7130501,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0887187,-46.69857947,deck,alive,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.0873525,-46.68025444,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.0919587,-46.70005482,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1147382,-46.68670016,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0750127,-46.70290179,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.104853,-46.7211344,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1006086,-46.69209145,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0791252,-46.69948691,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1162512,-46.71437887,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.1129554,-46.69279072,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0865568,-46.71619826,deck,alive,Bird
2002/2003,necropsy,,bottom longline,Ling,Stewart Snares Shelf,167.1040704,-46.68713441,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0458527,-46.75516616,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.066117,-46.766723,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0742518,-46.75467836,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0327723,-46.74144741,deck,alive,Bird
2002/2003,necropsy,,trawl,Scampi,Auckland Islands,166.9264235,-50.9278185,,dead,Seal
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.0643552,-48.19980584,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.054955,-48.18273783,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.0508257,-48.18322637,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.04847,-48.19982581,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.0561302,-48.19992831,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.0383498,-48.21990096,,dead,Bird
2002/2003,necropsy,deck,trawl,Oreos,Fiordland,164.9675838,-48.06936642,deck,dead,Bird
2002/2003,observer,,trawl,Barracouta,Stewart Snares Shelf,168.5861173,-47.01553691,,dead,Seal
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0757072,-46.68598588,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0827189,-46.71583884,deck,alive,Bird
2002/2003,necropsy,warp or door,trawl,Hoki,Chatham Rise,179.2520355,-42.90781798,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Stewart Snares Shelf,167.1058029,-46.68597318,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.480624,-47.7275759,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Stewart Snares Shelf,167.0997906,-46.7021516,,dead,Bird
2002/2003,observer,hook,bottom longline,Ling,Stewart Snares Shelf,167.103765,-46.71190953,,dead,Bird
2002/2003,observer,hook,bottom longline,Ling,Subantarctic,178.426649,-47.73810681,,alive,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Subantarctic,178.4624973,-47.76410055,,dead,Bird
2002/2003,observer,unknown,bottom longline,Ling,Stewart Snares Shelf,167.0795712,-46.68453076,,alive,Bird
2002/2003,imputation,deck,bottom longline,Ling,Stewart Snares Shelf,167.1172187,-46.67927632,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Stewart Snares Shelf,167.0421061,-46.73256319,deck,alive,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.7820828,-47.77701567,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,182.9173178,-44.30621631,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,182.8852558,-44.30697298,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,182.8863897,-44.3199668,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Chatham Rise,182.9098271,-44.32123037,deck,alive,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,182.9236951,-44.31270434,,dead,Bird
2002/2003,observer,deck,trawl,Oreos,East Coast South Island,174.5367014,-44.83759265,deck,alive,Bird
2002/2003,necropsy,unknown,bottom longline,Ling,Stewart Snares Shelf,167.0624277,-46.73407647,,dead,Bird
2002/2003,observer,unknown,trawl,Scampi,Auckland Islands,166.8278292,-50.99272159,,alive,Bird
2002/2003,imputation,unknown,bottom longline,Ling,Chatham Rise,183.0198137,-44.29360947,,dead,Bird
2002/2003,observer,deck,bottom longline,Ling,Subantarctic,178.5703673,-47.81662695,deck,alive,Bird
2002/2003,observer,deck,bottom longline,Ling,Subantarctic,178.5537812,-47.8179888,deck,alive,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.4960433,-47.7286336,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.4955441,-47.728131,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,178.5033848,-47.76478123,,dead,Bird
2002/2003,observer,unknown,bottom longline,Ling,Chatham Rise,183.5791131,-43.02994356,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.43013,-47.94131118,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,184.4631014,-43.44415117,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,184.4684486,-43.43532084,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,184.426544,-43.45258949,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,184.4591733,-43.46799016,,dead,Bird
2002/2003,necropsy,hook,bottom longline,Ling,Chatham Rise,184.4287492,-43.42722562,,dead,Bird
2002/2003,necropsy,paravane,trawl,Hoki,East Coast South Island,174.5928893,-44.07773359,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.4664008,-47.96346548,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.4337605,-47.95096275,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.5094389,-48.06181651,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.5133532,-48.05473369,,dead,Bird
2002/2003,necropsy,unknown,bottom longline,Ling,Chatham Rise,184.5814759,-43.5144286,,dead,Bird
2002/2003,necropsy,unknown,bottom longline,Ling,Chatham Rise,184.5995029,-43.50695866,,dead,Bird
2002/2003,necropsy,unknown,trawl,Hoki,East Coast South Island,175.8535548,-44.02630788,,dead,Bird
2002/2003,necropsy,unknown,trawl,Hoki,East Coast South Island,174.2630943,-43.55180199,,dead,Bird
2002/2003,imputation,paravane,trawl,Hoki,Chatham Rise,180.1058381,-42.87929531,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.507921,-48.06876534,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.5085122,-48.03058527,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.4931172,-48.05936642,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.5027911,-48.05245416,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.5038621,-48.05954193,,dead,Bird
2002/2003,necropsy,,bottom longline,Ling,Subantarctic,179.5244063,-48.06267293,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6510169,-43.96934649,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6408212,-43.95257221,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.627007,-43.9706025,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6496534,-43.93172944,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6489718,-43.95058245,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6602916,-43.93070051,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6375189,-43.95885954,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6476163,-43.93841173,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6340438,-43.92788074,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6296296,-43.92786187,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6326544,-43.96292805,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6436234,-43.94002575,,dead,Bird
2002/2003,necropsy,net,trawl,Hoki,East Coast South Island,174.6453173,-43.94003338,,dead,Bird
